Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Inc. Radar,x,y,Founded
MOWEA GmbH,https://www.mowea.world/en/, Provider of modular wind energy systems | Renewable Energy | Wind and Small Wind Turbines | Smart Energy | Green Tech,Series A,555250,,Existing,FALSE,,,2016
"
Convion",http://convion.fi/,A fuel cell system developer committed to commercializing solid oxide fuel cell systems,Seed,50000,,Distant,FALSE,,,2012
"
Deep Vision AI",www.deepvisionai.com,"It applies computer vision to understand images and video automatically, turning visual content into real-time analytics.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,2015
Aura Smart Air,http://auraair.io/,Providers of air purification system ,Seed,,Urban Planning & Design,Emerging,FALSE,,,2018
Tekuma,https://tekumafrenchman.com/,Provides plans and takes project for future city innovation,Unfunded,,Urban Planning & Design,Existing,FALSE,,,2015
"
Airly",https://airly.eu/en/,"Having access to accurate, hyper-local data about air pollution in your community, is the first step towards pollution-free cities",Seed,2200000,Urban Planning & Design,Existing,TRUE,50,-60,2016
CSD E.P. Water Service,http://www.zchb.net/, It is focused on providing environmental infrastructure management solutions in China,Series B,,Urban Planning & Design,Existing,FALSE,,,2009
Produced Water Transfer(PWT),,"Develops, owns and operates a network of water gathering pipelines and disposal facilities",,100000000,Urban Planning & Design,,FALSE,,,2017
Utilis Inc,http://utiliscorp.com/,It uses satellite imagery to monitor underground water systems and detect leaks,Unfunded,,Urban Planning & Design,Existing,FALSE,,,2013
CIVDRONE,www.civdrone.com/, A construction tech startup aiming to revolutionize land surveying.,Undisclosed,2000000,Urban Planning & Design,Emerging,FALSE,,,2018
"
Zilper Trenchless",https://www.zilpertrenchless.com/,It develops a pipe trenchless system designed to reduce the cost of underground piping infrastructure.,Seed,120000,Urban Planning & Design,Emerging,TRUE,120,-100,2018
"
Glove Systems",https://glovesys.com/,Glove Systems is a 3D scanning software designed to visualize the design in 3D.,Seed,50000,Urban Planning & Design,Emerging,TRUE,90,-125,2018
Transphorm,http://www.transphormusa.com/,Transphorm is a leading producer of gallium nitride-based solutions for high-voltage power conversion applications,Series E,258400000,,Existing,FALSE,,,2007
"
Arcadia",https://www.arcadia.com/,Arcadia is a nationwide home energy platform providing clean energy and savings.,Series C,70500000,,Existing,FALSE,,,2014
Carbon Engineering,http://carbonengineering.com/,A clean energy company,Undisclosed,107400000,,Existing,FALSE,,,2009
Lygos,http://www.lygos.com/,Lygos is providing biotechnology solutions for today’s renewable chemical challenges.,Series B,50000000,Circular Economy in Energy,Emerging,TRUE,170,-35,2010
"
Sonnen",https://sonnen-batterie.com/,Sonnen is a pioneer for intelligent lithium based energy storage,Series E,169200000,,Existing,FALSE,,,2010
"
Energy Vault",https://energyvault.com/,"Energy Vault offers a utility-scale, gravity-based storage solution for renewable energy",Series B,110000000,Circular Economy in Energy,Emerging,TRUE,190,-40,2017
Cypress Creek Renewables,https://ccrenew.com/,Cypress Creek Renewables is a national provider of local solar.,Grant,698000000,Circular Economy in Energy,Emerging,TRUE,195,-65,2014
Scale Microgrid Solutions,https://scalemicrogridsolutions.com/,A distributed clean energy and microgrid platform.,PE,300000000,Circular Economy in Energy,Existing,FALSE,,,2016
"
Commonwealth Fusion",https://www.cfs.energy/,Commonwealth Fusion develops energy through inexhaustible power plant.,Series A,115000000,Circular Economy in Energy,Emerging,TRUE,165,-70,2017
"
Advanced Microgrid Solutions",http://advmicrogrid.com/,AMS installs advanced energy storage systems in buildings to lower energy costs for consumers and provide clean,Series B,52700000,Net Zero Buildings ,Existing,TRUE,10,-120,2012
P2 Science,http://www.p2science.com/,P2 Science develops a bio-refining process for the conversion of biomass such as vegetable oils into high-value specialty chemicals.,Series C,23600000,Circular Economy in Energy,Emerging,FALSE,,,2009
Nanoramic Laboratories,https://www.nanoramic.com/,an industry-leading energy storage technology company & materials solutions innovator for Neocarbonix™ electrodes,Undisclosed,38600000,Circular Economy in Energy,Existing,TRUE,65,-10,2009
Amprius,http://www.amprius.com/,Amprius develops an anode out of silicon nanowires for lithium-ion batteries,Series C,55000000,Circular Economy in Energy,Existing,TRUE,125,-35,2008
ubitricity,https://ubitricity.com/en/,ubitricity is developing charging infrastructure for electric vehicles,Series C,24208900,Urban Planning & Design,Existing,TRUE,80,-65,2008
"
Nexamp",http://www.nexamp.com/,"Nexamp is leading the transformation to the new energy economy with proven solutions for solar energy development, ownership, and operation.",Undisclosed,75100000,Circular Economy in Energy,Existing,TRUE,130,-10,2007
Deep Isolation,http://www.deepisolation.com/,"An innovative startup provides equitable and environmentally protective solution for nuclear waste storage or disposal, a $500B untapped market.",Series A,14100000,Circular Economy in Energy,Emerging,FALSE,,,2016
Altaeros Energies,http://www.altaeros.com/,"Altaeros Energies develops airborne wind turbine to produce abundant, low cost, renewable energy",Venture- Series unknown,14500000,Circular Economy in Energy,Emerging,FALSE,,,2010
ORBITAL SYSTEMS,http://orbital-systems.com/,A clean-tech company that develops a water recycling technology to be used in domestic appliances.,Series B,46900000,Net Zero Buildings ,Existing,TRUE,20,-55,2012
Street Plans,https://www.street-plans.com ,"Street Plans is an award-winning urban planning, design, and research & advocacy firm.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,2009
Urban Arena LLC,http://urbanarena.com/,"Urban Arena is an architecture & planning firm specializing in landscape architecture, architecture, and urban planning designs.",Unfunded,,Urban Planning & Design,Emerging,FALSE,,,1996
Studio Smit Shah,https://studiosmitshah.com/,"It work in architecture, interior, urban planning, art, design and strategic thinking with our transparent approach to all projects.",Unfunded,,Urban Planning & Design,Emerging,FALSE,,,2018
Indio da Costa AUDT,http://www.indiodacosta.com/en,"Indio da Costa AUDT is a consultancy firm that develops projects in architecture, urban planning, industrial design and transportation.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1974
SqrFactor,https://www.sqrfactor.com/,"A professional network and marketplace of the architecture, interior design and urban planning community catering to consumers, real estate developers looking for multiple design ideas or architectural/design solutions.",Unfunded,,Urban Planning & Design,Emerging,FALSE,,,2015
"Architecture, Incorporated",http://archinc.com/,"Architecture, Incorporated offers architecture planning, urban design, and financial feasibility services.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1986
Arstiderne Arkitekter,https://aarstiderne.dk/,"Årstiderne Arkitekter is provides design, urban planning and consulting, landscape planning, and building architecture services.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1985
ACLA Ltd,http://www.acla.com.hk/,"ACLA Ltd. provides master planning, urban design, and landscape architecture consulting services.",Acquired,,Urban Planning & Design,Existing,FALSE,,,1978
Hamilton Anderson Associates,http://hamilton-anderson.com/,"Hamilton Anderson Associates is an architecture, urban planning and environmental design firm based in Michigan.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1994
MKSK,http://mkskstudios.com/,"MKSK is a design company providing planning, urban design, and landscape architecture services.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1990
LandDesign,http://landdesign.com/,"LandDesign is a real estate company offering urban design, planning, civil engineering, and landscape architecture solutions.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1978
StreetLight Data ,http://www.streetlightdata.com/,StreetLight Data is a data analytics company transforming urban planning and transportation design with the power of geospatial data.,Series C,29400000,Urban Planning & Design,Existing,TRUE,70,-55,2012
Perkins Estman,http://www.perkinseastman.com/,"Perkins Eastman is an international architecture, interior design, urban design, planning, landscape architecture, graphic design projects.",,,Urban Planning & Design,Existing,FALSE,,,1980
Calthorpe Associates,http://www.calthorpe.com/,"Calthorpe Associates is internationally recognized for its innovative leadership in regional planning, urban design and architecture.",Acquired,,Urban Planning & Design,Existing,FALSE,,,2002
Brunow &Maunula Architects,http://www.brunowmaunula.fi/,Brunow & Maunula Architects is provides architectural design services that range from urban planning to furniture design in Finland.,Acquired,,Urban Planning & Design,Existing,FALSE,,,1980
Tovatt Architects & Planners,https://www.tovatt.com/,ovatt Architects & Planners is a Stockholm based practice with long international experience in urban planning and residential design.,Acquired,,Urban Planning & Design,Existing,FALSE,,,
Mason Richards Partnership,http://www.mrp.co.uk/,"Mason Richards Partnership provides a broad range of services to the development industry, including town planning, urban design.",Acquired,,Urban Planning & Design,Existing,FALSE,,,
FXFowle Architects ,http://www.fxfowle.com/,"FXFOWLE Architects encompasses architecture, interior design, planning and urban development. With offices in New York and Washington, DC, the firm is committed to innovative design inspired by urbanism, technology and sustainable strategies.",Undisclosed,100000,Urban Planning & Design,Existing,FALSE,,,1978
Consolidated Consultants,http://www.ccjo.com/,"Consolidated Consultants Group is an architectural design, engineering, urban planning and construction management company.",Unfunded,,Urban Planning & Design,Existing,FALSE,,,1993
Termo Build ,https://www.termobuild.com/,TermoBuild enables Net Zero Energy and Sustainable Buildings without radical rethinking at or below conventional costs. Our value engineered platform is a plug-in to conventional building designs turning dormant concrete into a valuable energy asset.,Unfunded,,Net Zero Buildings ,Existing,TRUE,45,-90,2001
greeNEWit,http://www.greenewit.com/,A sustainable community developer building and operating net-zero assets. Life. Energy. Planet greeNEWit .,Unfunded,,Net Zero Buildings ,Existing,FALSE,,,2008
Viridi Parente,https://viridiparente.com/,Viridi Parente is a fuel and engine company for the new century.,Series B,29000000,Urban Planning & Design,Emerging,TRUE,115,-170,2012
EnergyHub,http://www.energyhub.com/,A real Time Monitoring & Controls System for Managing Household Power Consumption.,Acquired,33100000,Urban Planning & Design,Existing,TRUE,90,-82,2007
AltaRock Energy,http://www.altarockenergy.com/,AltaRock Energy focuses on the development of geothermal energy resources and Enhanced Geothermal Systems (EGS).,Venture- Series unknown,36500000,Net Zero Buildings ,Existing,FALSE,,,2007
Nuscale Power,http://www.nuscalepower.com/,"NuScale has developed a small nuclear power system that is safe, modular and scalable. The technology was borne of research by leading nuclear scientists with the support of the U.S. government.",Grant,42600000,Net Zero Buildings ,Existing,TRUE,40,-125,2007
ESS,http://www.essinc.com/,"ESS is a leading provider of long-duration energy storage solutions ideally suited for C&I, utility, microgrid and off-grid applications.",Series C,47000000,Urban Planning & Design,Existing,TRUE,80,-85,2011
Lightsail Energy,http://lightsail.com/,"LightSail Energy develops breakthrough, high efficiency energy storage systems using compressed air.",Series D,49600000,Net Zero Buildings ,Existing,FALSE,,,2008
Carbon Lighthouse,http://www.carbonlighthouse.com/,On a mission to stop climate change by making it easy and profitable for building owners to cut carbon emissions caused by wasted energy.,Venture- Series unkonow,67100000,Net Zero Buildings ,Existing,TRUE,30,-90,2010
Romeo Power,https://romeopower.com/ ,Romeo Power is an energy design and manufacturing powerhouse that created the most energy dense battery packs in the world.,Venture- Series unkonow,122600000,Net Zero Buildings ,Emerging,FALSE,,,2015
Stem,https://www.stem.com/,Stem pairs artificial intelligence with energy storage to help organizations automate energy cost savings and protect against changing rates.,Series D,321100000,Circular Economy in Energy,Existing,TRUE,115,-50,2009
SolarReserve,http://www.solarreserve.com,"SolarReserve is a leading global developer of utility-scale solar power projects, which include electricity generation by solar thermal energy and photovoltaic panels. In addition, SolarReserve has commercialized a proprietary advanced solar thermal technology with integrated energy storage that solves the intermittency issues experienced with other renewable energy sources.",Series B,184000000,Net Zero Buildings ,Existing,FALSE,,,2007
Aquion Energy,www.aquionenergy.com,Aquion Energy is a company that manufactures sodium ion batteries and energy storage systems.,Undisclosed,182300000,Net Zero Buildings ,Existing,FALSE,,,2007
Silicon Ranch,https://www.siliconranch.com/,"Silicon Ranch developer, owner and operator of solar energy facilities in US.",Corporate Round,155000000,Urban Planning & Design,Existing,TRUE,60,-75,2010
AMP Americas(AMP CNG),http://www.ampamericas.com/,ampCNG is leading the transition to compressed natural gas (CNG) as a transportation fuel in the commercial trucking industry.,Private Equity,122000000,Net Zero Buildings ,Existing,FALSE,,,2011
Form Energy,https://www.formenergy.com/,"Form Energy is developing a brand new class of ultra-low cost, long duration energy storage systems. With these new systems, renewables can be made fully firm and dispatchable year-round, and transmission capacity can be expanded without the need for new wires.",Series B,49000000,Net Zero Buildings ,Distant,FALSE,,,2017
TAE Technology,https://tae.com/,TAE's core mission is to create a new source of clean energy – one that’s powered by nature’s own processes and produces no harmful byproducts,Undisclosed,90400000,Net Zero Buildings ,Existing,FALSE,,,1998
Sierra Energy,http://www.sierraenergy.com/,Sierra Energy is a technology that turns trash into energy without burning.,Series A,33000000,Circular Economy in Energy,Existing,TRUE,125,-20,2004
TemperPack,https://www.temperpack.com/,TemperPack seeks to solve the world's packaging problems through sustainable design.,Series B,33400000,Circular Economy in Energy,Emerging,TRUE,140,-60,2015
LevelTen Energy,http://leveltenenergy.com/,"LevelTen is the safest, most cost-effective way for C&I customers to purchase renewable energy.",Series B,28300000,Circular Economy in Energy,Emerging,TRUE,200,-20,2016
Revel Transit, https://reveltransit.com/,"Revel Transit is a shared electric vehicle service that allows users to locate, reserve, and unlock electric mopeds through an app.",Series A,31600000,Circular Economy in Energy,Emerging,FALSE,,,2018
Verdigris Technology,http://www.verdigris.co/,Verdigris Technologies is a SaaS-based platform that develops artificial intelligence in order to optimize energy consumption.,Series A,21600000,Net Zero Buildings ,Existing,TRUE,30,-75,2011
LIFX,http://lifx.com/,"LIFX is the creator of Wi Fi-enable, multi-colored LED lights controllable via a smart device.",Acquired,16300000,Circular Economy in Energy,Existing,FALSE,,,2012
GoExpedi,https://www.goexpedi.com/,GoExpedi is a transformative procurement platform enabling the energy industry to more efficiently procure critical parts and supplies.,Series B,35300000,Circular Economy in Energy,Distant,FALSE,,,2017
Energetic Insurance,http://www.energeticinsurance.com/,"Energetic Insurance is a Managing General Underwriter (MGU) with a novel, data-driven approach to develop new risk management products to unlock exponential growth in the renewable energy industry.",Seed,4400000,Circular Economy in Energy,Distant,FALSE,,,2016
Infinite Cooling ,https://www.infinite-cooling.com/,Infinite Cooling recaptures and recycles massive amounts of water that would otherwise be wasted at industrial scale facilities.,Seed,4000000,Circular Economy in Energy,Distant,TRUE,270,-37,2017
Enerkem,http://www.enerkem.com/,"Enerkem is a cleantech company transforming waste into transportation biofuels, renewable chemicals, and everyday products.",Corporate Round ,616500000,Circular Economy in Energy,Existing,TRUE,90,-25,2000
Schneider Electric,http://www.schneider-electric.com/,Schneider Electric is a company that creates products that help people conserve energy.,Grand,,Circular Economy in Energy,Existing,FALSE,,,1836
Cambrian Innovation,https://cambrianinnovation.com/products/,"Cambrian Innovation is developing a portfolio of environmental solutions that help industrial, agricultural, and government customers save money while better managing and re-using their resources.",Undisclosed,24900000,Circular Economy in Energy,Existing,TRUE,70,-25,2006
Lehigh Technologies,http://lehightechnologies.com/,"Lehigh Technologies is a specialty materials company that manufactures high-performance, lower cost, sustainable micronized rubber powders.",Acquired,88000000,Circular Economy in Energy,Existing,FALSE,,,2003
HYLA Mobile,http://www.hylamobile.com/#content2-0,HYLA Mobile' work will create economic opportunity for all who participate; help promote digital inclusion.,Series C,140000000,Circular Economy in Energy,Existing,FALSE,,,2009
TriCiclos,http://www.triciclos.net/en/,"Generate capabilities , spaces and procedures to take charge of our waste responsibly providing materials.",Venture-Series unknown,2600000,Circular Economy in Energy,Emerging,FALSE,,,2009
Miniwiz,http://www.miniwiz.com/,"MINIWIZ is an engineering, design, manufacturing, and product marketing company dedicated to upcycling consumer trash and industrial waste.",Unfunded,,Circular Economy in Energy,Emerging,FALSE,,,2006
AB InBev,https://www.ab-inbev.com/,"Proving that innovation in the circular economy isn’t confined to small tech start-ups, the world’s largest brewer wants 100% of its product to be in packaging that’s returnable or made from majority-recycled content by 2025. Already nearly half of its drinks are sold in returnable glass bottles.",Public,10000000,Circular Economy in Energy,Existing,FALSE,,,2008
Ather Energy,http://www.atherenergy.com/,Ather Energy is building india's first intelligent electric scooters along with the first public charging infrastructure,Series C,91000000,Urban Planning & Design,Existing,TRUE,55,-45,2013
Sunseap,http://sunseap.com/,Sunseap is a Singaporean provider of solar and clean energy.,Series D,188800000,Circular Economy in Energy,Existing,FALSE,,,2011
ReNew Power,http://www.renewpower.in/,ReNew Power is a wind energy firm based in India.,Debt Financing ,2800000000,Circular Economy in Energy,Existing,FALSE,,,2011
"
ADVANO",http://advano.io/,ADVANO combines nanotechnology with fundamental chemical engineering principles to accelerate the renewable energy revolution.,Series A,23800000,Circular Economy in Energy,Emerging,TRUE,160,-50,2014
Bidgely,https://www.bidgely.com/,Bidgely leverages the power of AI to optimize utility customer engagement and is the choice of leading utilities,Series C,51600000,Net Zero Buildings ,Existing,FALSE,,,2010
Leap,http://www.leap.ac/,Leap is a marketplace for Distributed Energy Resources to participate in the energy market.,Series A,11600000,Circular Economy in Energy,Distant,TRUE,240,-85,2017
"
75F",http://75f.io/,"75F is a predictive and proactive IoT-based building automation system that addresses HVAC, lighting, and equipment control needs",Series A,20100000,Net Zero Buildings ,Existing,TRUE,10,-100,2012
Inspire,http://www.helloinspire.com/,"Consumer technology platform that powers cleaner, more efficient, and more sustainable homes.",Series A,38200000,Circular Economy in Energy,Existing,TRUE,85,-100,2013
Innowatts,http://www.innowatts.com/,"Energy technology company transforming the way energy is bought, sold, managed and consumed",Series B,24200000,Circular Economy in Energy,Existing,TRUE,90,-40,2013
Zola Electric,http://www.offgrid-electric.com/,Zola Electric is a renewable energy brand.,Debt Financing ,239100000,Circular Economy in Energy,Existing,FALSE,,,2012
Calysta,http://calysta.com/,Calysta Energy develops a new biological gas-to-liquids™ (BioGTL™) and biological gas-to-chemicals (BioGTC™) technology using natural gas.,Series E,118000000,Circular Economy in Energy,Distant,FALSE,,,2011
Angaza,http://www.angazadesign.com/,Angaza's technology platform allows manufacturers and distributors to make energy products affordable to 1 billion off-grid consumers.,Series B,16000000,Circular Economy in Energy,Emerging,FALSE,,,2010
"
BuildingIQ",http://www.buildingiq.com/,"BuildingIQ, an energy management software platform, forecasts energy demand and adjusts buildings' HVAC settings to optimize energy use.",Public,33700000,Net Zero Buildings ,Emerging,FALSE,,,2009
Palmetto Clean Technology,http://www.palmetto.com/,"Palmetto Clean Technology builds and operates clean energy projects for residential, commercial, and utility customers.",Debt Financing ,34000000,Net Zero Buildings ,Existing,FALSE,,,2010
Scandit,http://www.scandit.com/,"Scandit develops software for barcode scanning, text and objects recognition, and delivering real-time insights through augmented reality.",Series B,43100000,Urban Planning & Design,Existing,FALSE,,,2009
Remix,https://www.remix.com/,"Remix is a platform for planning public transit, designing streets, and managing new mobility.
",Series B,27000000,Urban Planning & Design,Emerging,FALSE,,,2014
Katerra,https://katerra.com/,Katerra is a Silicon Valley startup that is redefining the multi-trillion dollar construction industry.,Series D,2100000000,Urban Planning & Design,Emerging,FALSE,,,2015
The Boring Company,https://boringcompany.com/,The Boring Company aims to dig tunnels efficiently to facilitate an underground transportation network.,Venture- Series unknown,233000000,Urban Planning & Design,Distant,FALSE,,,2016
HoloBuilder,https://www.holobuilder.com/,HoloBuilder is the fastest and most insightful solution to document construction projects with AI-powered 360° image technology.,Seed,2900000,Urban Planning & Design,Emerging,FALSE,,,2014
PlanRadar,https://www.planradar.com/,PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,Series A,34647600,Urban Planning & Design,Existing,FALSE,,,2013
EquipmentShare,https://www.equipmentshare.com/,EquipmentShare is an equipment rental marketplace that also offers telematics and equipment utilization services.,Series B,58700000,Urban Planning & Design,Existing,FALSE,,,2014
RoadBotics,https://www.roadbotics.com/,RoadBotics empowers cities to assess roads using artificial intelligence.,Series A,11400000,Urban Planning & Design,Emerging,FALSE,,,2016
WaterBridge Resources,http://h2obridge.com/,"A midstream development company focused on developing, acquiring and operating flowback and produced water infrastructure",PE,400000000,Urban Planning & Design,Existing,FALSE,,,2015
Urban Umbrella,http://www.urbanumbrella.com/,Urban Umbrella is designing innovative scaffolding for the future of city sidewalks.,Series A,13500000,Urban Planning & Design,Distant,FALSE,,,2016
Zagster,http://www.zagster.com/,Zagster is a transportation provider offering turnkey bike sharing systems in the United States.,Series C,31100000,Urban Planning & Design,Existing,FALSE,,,2007
DUCKT,https://duckt.app/,"The world's first universal electrical scooter charging station. Better operations, better experience for people & the city",Seed,200000,Urban Planning & Design,Emerging,FALSE,,,2019
Lightelligence,https://www.lightelligence.ai/,Accelerating AI at the speed of light,Seed,10000000,Net Zero Buildings ,Distant,FALSE,,,2017
Dashride,,"Dashride is an automated dispatching platform for taxi, limo, and rideshare fleets.",Seed,1500000,Urban Planning & Design,Emerging,FALSE,,,2013
Synesis Group,http://synesis-group.com/,"Synesis builds large scale services for governments and global consumers using state-of-the-art AI, Cloud, and Big Data technologies",Series A,11400000,Urban Planning & Design,Emerging,FALSE,,,2007
Cityzenith,http://www.cityzenith.com/,Cityzenith provides data visualization platform software and applications for IoT and Smart Cities.,Seed,6000000,Urban Planning & Design,Emerging,FALSE,,,2009
Citymart,http://citymart.com/,"Citymart is a tech company empowering city officials to better serve their communities through access to data, insights, and peers.",Seed,1800000,Urban Planning & Design,Emerging,FALSE,,,2011
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
